airfoil,max_camber,camber_pos,max_thickness,le_radius,te_angle_deg,thickness_25,thickness_50,thickness_75,alpha_deg,log10_Re,n_crit,CL,CD,CM
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,4.666666666666666,5.0,9.0,0.5203888812223879,0.017877692556441765,0.0025467628271323914
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,6.0,5.0,9.0,0.6457702371720458,0.026140332165324437,0.007681005264070244
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-6.0,5.5,5.0,-0.6536782823822951,0.014172901884773062,-0.002284471003104624
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-4.666666666666667,5.5,5.0,-0.5240681476667858,0.011835567624001491,0.001078788613554906
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-3.3333333333333335,5.5,5.0,-0.38885821719799774,0.009850406411404885,0.002286613434620981
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-2.0,5.5,5.0,-0.23915719154074003,0.007632766647971022,0.001961750794765399
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-0.666666666666667,5.5,5.0,-0.08307097215057618,0.006580929784413686,0.0009007573441231112
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,0.6666666666666661,5.5,5.0,0.08307097215057557,0.00658092978441368,-0.0009007573441226962
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,2.0,5.5,5.0,0.23915719154073978,0.007632766647971029,-0.0019617507947652566
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,3.333333333333332,5.5,5.0,0.38885821719799796,0.009850406411404876,-0.002286613434620944
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,4.666666666666666,5.5,5.0,0.524068147666785,0.01183556762400148,-0.0010787886135546093
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,6.0,5.5,5.0,0.6536782823822949,0.014172901884773026,0.0022844710031048416
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,7.333333333333332,5.5,5.0,0.7803764142492738,0.017569166226389384,0.00605009704720903
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,8.666666666666666,5.5,5.0,0.900650245508986,0.022964076463725776,0.009784552972142395
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,10.0,5.5,5.0,0.9920261562250632,0.03137173201025367,0.014410510965686319
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-6.0,5.5,9.0,-0.6494509381479507,0.01568700362660417,-0.0036904978215059102
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-4.666666666666667,5.5,9.0,-0.5262469049935938,0.012004383666987853,0.0010471673164734595
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-3.3333333333333335,5.5,9.0,-0.40447242589472004,0.00879712769247911,0.0049094578196579135
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-2.0,5.5,9.0,-0.2808648404883506,0.007092956634312211,0.01157481983369641
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-0.666666666666667,5.5,9.0,-0.11308887967758097,0.006894622384658874,0.008652740304985642
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,0.6666666666666661,5.5,9.0,0.11308887967758115,0.006894622384658874,-0.008652740304985595
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,2.0,5.5,9.0,0.2808648404883512,0.007092956634312211,-0.01157481983369632
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,3.333333333333332,5.5,9.0,0.40447242589471877,0.008797127692479104,-0.0049094578196577044
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,4.666666666666666,5.5,9.0,0.5262469049935927,0.012004383666987842,-0.00104716731647336
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,6.0,5.5,9.0,0.6494509381479492,0.015687003626604155,0.003690497821506136
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-6.0,6.0,5.0,-0.6644012300475404,0.010085338901776372,-0.000453768457175201
naca0008,0.0,0.0,0.08001915623852546,0.007035946587733639,10.506160823118948,0.07921263899565847,0.07058473010087184,0.042136487328027536,-4.666666666666667,6.0,5.0,-0.5181015707211807,0.008657858167320452,-0.0006887438114657841
